#1 
double t21(22,3)   # alfa[deg] CL[-] CD[-] 		
-1.01	0.019	0.010
-0.01	0.139	0.010
01.02	0.258	0.010
02.05	0.378	0.010
03.08	0.497	0.010
04.10	0.617	0.010
05.13	0.736	0.010
06.16	0.851	0.010
07.17	0.913	0.013
08.20	0.952	0.017
09.22	0.973	0.025
10.21	0.952	0.038
11.21	0.947	0.073
12.22	1.007	0.064
13.24	1.031	0.070
14.24	1.055	0.083
15.24	1.062	0.108
16.24	1.043	0.143
17.23	0.969	0.185
18.20	0.938	0.185
19.17	0.929	0.185
20.15	0.923	0.185
#2 
double lift(28,2)   # alfa[deg] CL[-] CD[-] 	
0.00	21.0 	# thickness	
-90.0	0
-8.1	-0.574
-6.1	-0.547
-1.01	0.019
-0.01	0.139
01.02	0.258
02.05	0.378
03.08	0.497
04.10	0.617
05.13	0.736
06.16	0.851
07.17	0.913
08.20	0.952
09.22	0.973
10.21	0.952
11.21	0.947
12.22	1.007
13.24	1.031
14.24	1.055
15.24	1.062
16.24	1.043
17.23	0.969
18.20	0.938
19.17	0.929
20.15	0.923
30		0.9
90.0	0.0
#3 
double drag(27,2)   # alfa[deg] CL[-] CD[-] 	
0.00	21.0  	# thickness	
-10		0.185
-8.1	0.0742
-4.2	0.0117	
-1.01	0.010
-0.01	0.010
01.02	0.010
02.05	0.010
03.08	0.010
04.10	0.010
05.13	0.010
06.16	0.010
07.17	0.013
08.20	0.017
09.22	0.025
10.21	0.038
11.21	0.073
12.22	0.064
13.24	0.070
14.24	0.083
15.24	0.108
16.24	0.143
17.23	0.185
18.20	0.185
19.17	0.185
20.15	0.185
50.00 	1.3
